g_one_rep disp_cost u_first htgr_one sfr_one g_two_sub u_second htgr_two sfr_two u_last
2 0 1 0 3 1 1 0 3 1
2 0 1 1 3 3 3 1 0 3
2 0 1 1 3 3 3 1 1 2
2 0 1 1 3 3 3 1 2 1
2 0 1 2 3 0 2 2 0 2
2 0 1 2 3 0 2 2 1 2
2 0 1 2 3 0 2 2 2 0
2 1 1 0 3 1 1 0 3 1
2 1 1 1 3 3 3 1 0 3
2 1 1 1 3 3 3 1 1 2
2 1 1 1 3 3 3 1 2 1
2 1 1 2 3 0 2 2 0 2
2 1 1 2 3 0 2 2 1 2
2 1 1 2 3 0 2 2 2 0
2 2 1 0 3 1 1 0 3 1
2 2 1 1 3 3 3 1 0 3
2 2 1 1 3 3 3 1 1 2
2 2 1 1 3 3 3 1 2 1
2 2 1 2 3 0 2 2 0 2
2 2 1 2 3 0 2 2 1 2
2 2 1 2 3 0 2 2 2 0
2 3 1 0 3 1 1 0 3 1
2 3 1 1 3 3 3 1 0 3
2 3 1 1 3 3 3 1 1 2
2 3 1 1 3 3 3 1 2 1
2 3 1 2 3 0 2 2 0 2
2 3 1 2 3 0 2 2 1 2
2 3 1 2 3 0 2 2 2 0
