first_reactor_decision second_reactor_decision final_reactor_decision chosen_reprocessing_cost chosen_capital_subsidy disposal_cost htgr_capital_cost sfr_capital_cost 
0 2 2 1 0 3 1 1
year lwr_wastegenerated lwr_wastereprocessed_byyear lwr_wastereprocessed htgr_wastegenerated htgr_wastereprocessed_byyear htgr_wastereprocessed sfr_wastegenerated sfr_wastereprocessed_byyear sfr_wastereprocessed
2018 2031.5398886827456 0.0 2031.5398886827456 0.0 0.0 0.0 0.0 0.0 0.0 
2019 2072.1706864564007 0.0 2072.1706864564007 0.0 0.0 0.0 0.0 0.0 0.0 
2020 2112.8014842300554 0.0 2112.8014842300554 0.0 0.0 0.0 0.0 0.0 0.0 
2021 2153.4322820037105 0.0 2153.4322820037105 0.0 0.0 0.0 0.0 0.0 0.0 
2022 2214.3784786641927 0.0 2214.3784786641927 0.0 0.0 0.0 0.0 0.0 0.0 
2023 2255.009276437848 0.0 2255.009276437848 0.0 0.0 0.0 0.0 0.0 0.0 
2024 2315.95547309833 0.0 2315.95547309833 0.0 0.0 0.0 0.0 0.0 0.0 
2025 2376.9016697588127 0.0 2376.9016697588127 0.0 0.0 0.0 0.0 0.0 0.0 
2026 2417.5324675324678 0.0 2417.5324675324678 0.0 0.0 0.0 0.0 0.0 0.0 
2027 2478.47866419295 0.0 2478.47866419295 0.0 0.0 0.0 0.0 0.0 0.0 
2028 2539.424860853432 0.0 2539.424860853432 0.0 0.0 0.0 0.0 0.0 0.0 
2029 2600.3710575139144 0.0 2600.3710575139144 0.0 0.0 0.0 0.0 0.0 0.0 
2030 2661.317254174397 0.0 2661.317254174397 0.0 0.0 0.0 0.0 0.0 0.0 
2031 2722.263450834879 0.0 2722.263450834879 0.0 0.0 0.0 0.0 0.0 0.0 
2032 2783.2096474953614 0.0 2783.2096474953614 0.0 0.0 0.0 0.0 0.0 0.0 
2033 2844.1558441558436 0.0 2844.1558441558436 0.0 0.0 0.0 0.0 0.0 0.0 
2034 2905.1020408163263 0.0 2905.1020408163263 0.0 0.0 0.0 0.0 0.0 0.0 
2035 2966.048237476809 0.0 2966.048237476809 0.0 0.0 0.0 0.0 0.0 0.0 
2036 3047.3098330241187 0.0 3047.3098330241187 0.0 0.0 0.0 0.0 0.0 0.0 
2037 3108.256029684601 0.0 3108.256029684601 0.0 0.0 0.0 0.0 0.0 0.0 
2038 3189.517625231911 0.0 3189.517625231911 0.0 0.0 0.0 0.0 0.0 0.0 
2039 3250.4638218923933 0.0 3250.4638218923933 0.0 0.0 0.0 0.0 0.0 0.0 
2040 3331.725417439703 0.0 3331.725417439703 0.0 0.0 0.0 0.0 0.0 0.0 
2041 3412.987012987013 0.0 3412.987012987013 0.0 0.0 0.0 0.0 0.0 0.0 
2042 3494.2486085343226 0.0 3494.2486085343226 0.0 0.0 0.0 0.0 0.0 0.0 
2043 3575.5102040816328 0.0 3575.5102040816328 0.0 0.0 0.0 0.0 0.0 0.0 
2044 3656.771799628942 80.0 3656.771799628942 0.0 0.0 0.0 0.0 0.0 0.0 
2045 3738.033395176252 240.0 3738.033395176252 0.0 0.0 0.0 4.591836734693878 0.0 4.591836734693878 
2046 3798.9795918367345 480.0 3798.9795918367345 0.0 0.0 0.0 9.183673469387756 0.0 9.183673469387756 
2047 3880.241187384044 800.0 3880.241187384044 0.0 0.0 0.0 13.775510204081632 0.0 13.775510204081632 
2048 3961.5027829313544 800.0 3961.5027829313544 0.0 0.0 0.0 18.367346938775512 0.0 18.367346938775512 
2049 4063.0797773654913 800.0 4063.0797773654913 0.0 0.0 0.0 22.95918367346939 0.0 22.95918367346939 
2050 4144.3413729128015 800.0 4144.3413729128015 0.0 0.0 0.0 27.551020408163264 0.0 27.551020408163264 
2051 4225.602968460111 800.0 4225.602968460111 0.0 0.0 0.0 32.142857142857146 4.591836734693878 32.142857142857146 
2052 4327.179962894249 800.0 4327.179962894249 0.0 0.0 0.0 36.734693877551024 9.183673469387756 36.734693877551024 
2053 4408.441558441558 800.0 4408.441558441558 0.0 0.0 0.0 41.3265306122449 13.775510204081632 41.3265306122449 
2054 4510.018552875696 800.0 4510.018552875696 0.0 0.0 0.0 45.91836734693878 18.367346938775512 45.91836734693878 
2055 4510.018552875696 800.0 4510.018552875696 0.0 0.0 0.0 110.20408163265306 22.95918367346939 110.20408163265306 
2056 4510.018552875696 800.0 4510.018552875696 0.0 0.0 0.0 169.8979591836735 27.551020408163264 169.8979591836735 
2057 4550.649350649351 800.0 4550.649350649351 0.0 0.0 0.0 211.22448979591837 32.142857142857146 211.22448979591837 
2058 4672.541743970315 800.0 4672.541743970315 0.0 0.0 0.0 211.22448979591837 36.734693877551024 211.22448979591837 
2059 4794.4341372912795 800.0 4794.4341372912795 0.0 0.0 0.0 211.22448979591837 41.3265306122449 211.22448979591837 
2060 4916.326530612244 800.0 4916.326530612244 0.0 0.0 0.0 211.22448979591837 45.91836734693878 211.22448979591837 
2061 5017.903525046382 800.0 5017.903525046382 0.0 0.0 0.0 211.22448979591837 110.20408163265306 211.22448979591837 
2062 5038.218923933209 800.0 5038.218923933209 0.0 0.0 0.0 266.32653061224494 169.8979591836735 266.32653061224494 
2063 5099.165120593692 800.0 5099.165120593692 0.0 0.0 0.0 298.46938775510205 211.22448979591837 298.46938775510205 
2064 5241.372912801484 800.0 5241.372912801484 0.0 0.0 0.0 298.46938775510205 211.22448979591837 298.46938775510205 
2065 5383.580705009276 800.0 5383.580705009276 0.0 0.0 0.0 298.46938775510205 211.22448979591837 298.46938775510205 
2066 5525.788497217069 800.0 5525.788497217069 0.0 0.0 0.0 298.46938775510205 211.22448979591837 298.46938775510205 
2067 5607.050092764379 800.0 5607.050092764379 0.0 0.0 0.0 316.8367346938776 211.22448979591837 316.8367346938776 
2068 5667.996289424861 800.0 5667.996289424861 0.0 0.0 0.0 362.7551020408163 266.32653061224494 362.7551020408163 
2069 5769.5732838589975 800.0 5769.5732838589975 0.0 0.0 0.0 394.8979591836735 298.46938775510205 394.8979591836735 
2070 5911.78107606679 800.0 5911.78107606679 0.0 0.0 0.0 394.8979591836735 298.46938775510205 394.8979591836735 
2071 6074.304267161409 800.0 6074.304267161409 0.0 0.0 0.0 394.8979591836735 298.46938775510205 394.8979591836735 
2072 6236.82745825603 800.0 6236.82745825603 0.0 0.0 0.0 394.8979591836735 298.46938775510205 394.8979591836735 
2073 6338.404452690166 800.0 6338.404452690166 0.0 0.0 0.0 417.8571428571429 316.8367346938776 417.8571428571429 
2074 6419.666048237476 800.0 6419.666048237476 0.0 0.0 0.0 468.36734693877554 362.7551020408163 468.36734693877554 
2075 6541.558441558441 800.0 6541.558441558441 0.0 0.0 0.0 495.9183673469388 394.8979591836735 495.9183673469388 
2076 6704.081632653061 800.0 6704.081632653061 0.0 0.0 0.0 500.51020408163265 394.8979591836735 500.51020408163265 
2077 6866.604823747681 800.0 6866.604823747681 0.0 0.0 0.0 500.51020408163265 394.8979591836735 500.51020408163265 
2078 7049.443413729127 800.0 7049.443413729127 0.0 0.0 0.0 500.51020408163265 394.8979591836735 500.51020408163265 
2079 7171.335807050092 950.0 7171.335807050092 0.0 0.0 0.0 537.2448979591836 417.8571428571429 537.2448979591836 
2080 7211.966604823748 1250.0 7211.966604823748 0.0 0.0 0.0 619.8979591836735 468.36734693877554 619.8979591836735 
2081 7272.91280148423 1700.0 7272.91280148423 0.0 0.0 0.0 693.3673469387755 495.9183673469388 693.3673469387755 
2082 7354.174397031539 2300.0 7354.174397031539 0.0 0.0 0.0 753.061224489796 500.51020408163265 753.061224489796 
2083 7557.328385899814 2300.0 7557.328385899814 0.0 0.0 0.0 753.061224489796 500.51020408163265 753.061224489796 
2084 7760.482374768088 2300.0 7760.482374768088 0.0 0.0 0.0 757.6530612244899 500.51020408163265 757.6530612244899 
2085 7902.690166975881 2300.0 7902.690166975881 0.0 0.0 0.0 794.3877551020408 537.2448979591836 794.3877551020408 
2086 7963.636363636363 2300.0 7963.636363636363 0.0 0.0 0.0 881.6326530612245 619.8979591836735 881.6326530612245 
2087 8024.582560296845 2300.0 8024.582560296845 0.0 0.0 0.0 964.2857142857143 693.3673469387755 964.2857142857143 
2088 8146.474953617811 2300.0 8146.474953617811 0.0 0.0 0.0 1023.9795918367348 753.061224489796 1023.9795918367348 
2089 8349.628942486084 2450.0 8349.628942486084 0.0 0.0 0.0 1042.3469387755104 753.061224489796 1042.3469387755104 
2090 8532.467532467534 2750.0 8532.467532467534 0.0 0.0 0.0 1069.8979591836737 757.6530612244899 1069.8979591836737 
2091 8613.729128014842 3200.0 8613.729128014842 0.0 0.0 0.0 1157.1428571428573 794.3877551020408 1157.1428571428573 
2092 8613.729128014842 3800.0 8613.729128014842 0.0 0.0 0.0 1304.0816326530612 881.6326530612245 1304.0816326530612 
2093 8694.99072356215 3800.0 8694.99072356215 0.0 0.0 0.0 1395.918367346939 964.2857142857143 1395.918367346939 
2094 8816.883116883117 3950.0 8816.883116883117 0.0 0.0 0.0 1473.9795918367347 1023.9795918367348 1473.9795918367347 
2095 8999.721706864564 4250.0 8999.721706864564 0.0 0.0 0.0 1519.8979591836737 1042.3469387755104 1519.8979591836737 
2096 9141.929499072356 4700.0 9141.929499072356 0.0 0.0 0.0 1593.3673469387757 1069.8979591836737 1593.3673469387757 
2097 9141.929499072356 5300.0 9141.929499072356 0.0 0.0 0.0 1740.3061224489797 1157.1428571428573 1740.3061224489797 
2098 9141.929499072356 5300.0 9141.929499072356 0.0 0.0 0.0 1901.0204081632653 1304.0816326530612 1901.0204081632653 
2099 9263.82189239332 5300.0 65.8627087198716 0.0 0.0 0.0 2002.0408163265306 1395.918367346939 2002.0408163265306 
2100 9406.029684601113 5300.0 0.0 0.0 0.0 0.0 2080.1020408163267 1473.9795918367347 2080.1020408163267 
